epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.88671875,4.999999873689376e-05,0.4665994346141815,0.9763092398643494,0.07626552879810333
1,0.9786998629570007,6.25000029685907e-05,0.07424645870923996,0.9841877818107605,0.04907229542732239
2,0.9853193163871765,7.500000356230885e-05,0.050126031041145325,0.9886240363121033,0.03549960255622864
3,0.9879265427589417,8.749999688006938e-05,0.04021356999874115,0.9892314672470093,0.03409409523010254
4,0.9894144535064697,9.999999747378752e-05,0.03432845324277878,0.9912195205688477,0.027556084096431732
5,0.9913491010665894,9.999999747378752e-05,0.028816280886530876,0.9919558167457581,0.025824323296546936
6,0.9920907616615295,9.924798359861597e-05,0.026236731559038162,0.9925632476806641,0.02338975854218006
7,0.9926481246948242,9.701478120405227e-05,0.02524382621049881,0.9917349219322205,0.02585105411708355
8,0.993099570274353,9.33682604227215e-05,0.023534635081887245,0.9923607707023621,0.024634329602122307
9,0.9933759570121765,8.841919770929962e-05,0.022302689030766487,0.9904095530509949,0.03090425208210945
10,0.9940577149391174,8.23179871076718e-05,0.020910663530230522,0.9920478463172913,0.025452008470892906
